id,sku,name,category_id,subcategory,description,brand,manufacturer,unit_of_measure,quantity_on_hand,minimum_stock,reorder_point,reorder_quantity,unit_cost,supplier_id,primary_location_id,bin_location,status_override,is_active,notes,created_at,updated_at,base_item_name,size_label,size_sort_value
1,CT-STR-12000,"Cable Tray Straight 12""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Straight,"12""",12000
2,CT-STR-18000,"Cable Tray Straight 18""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Straight,"18""",18000
3,CT-STR-24000,"Cable Tray Straight 24""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Straight,"24""",24000
4,CT-STR-36000,"Cable Tray Straight 36""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Straight,"36""",36000
9,CT-COV-12000,"Cable Tray Cover 12""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Cover,"12""",12000
10,CT-COV-18000,"Cable Tray Cover 18""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Cover,"18""",18000
11,CT-COV-24000,"Cable Tray Cover 24""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Cover,"24""",24000
12,CT-COV-36000,"Cable Tray Cover 36""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Cover,"36""",36000
13,CT-RED-RR-18000-12000,"Cable Tray Reducer RR 18"" x 12""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Reducer RR,"18"" x 12""",180012000
14,CT-RED-RR-24000-12000,"Cable Tray Reducer RR 24"" x 12""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Reducer RR,"24"" x 12""",240012000
15,CT-RED-RR-24000-18000,"Cable Tray Reducer RR 24"" x 18""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Reducer RR,"24"" x 18""",240018000
16,CT-RED-RR-36000-18000,"Cable Tray Reducer RR 36"" x 18""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Reducer RR,"36"" x 18""",360018000
17,CT-RED-RR-36000-24000,"Cable Tray Reducer RR 36"" x 24""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Reducer RR,"36"" x 24""",360024000
18,CT-RED-RL-18000-12000,"Cable Tray Reducer RL 18"" x 12""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Reducer RL,"18"" x 12""",180012000
19,CT-RED-RL-24000-12000,"Cable Tray Reducer RL 24"" x 12""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Reducer RL,"24"" x 12""",240012000
20,CT-RED-RL-24000-18000,"Cable Tray Reducer RL 24"" x 18""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Reducer RL,"24"" x 18""",240018000
21,CT-RED-RL-36000-18000,"Cable Tray Reducer RL 36"" x 18""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Reducer RL,"36"" x 18""",360018000
22,CT-RED-RL-36000-24000,"Cable Tray Reducer RL 36"" x 24""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Reducer RL,"36"" x 24""",360024000
23,CT-RED-RC-18000-12000,"Cable Tray Reducer RC 18"" x 12""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Reducer RC,"18"" x 12""",180012000
24,CT-RED-RC-24000-12000,"Cable Tray Reducer RC 24"" x 12""",1,Tray,,Cooper B-Line,Eaton,FT,120,40,60,120,6.0,2,1,,,true,,"""2026-03-03T14:19:38.281Z""","""2026-03-03T14:19:38.281Z""",Cable Tray Reducer RC,"24"" x 12""",240012000
